step,RS_Hartree,TS_Hartree,PS_Hartree,activation_barrier_kJ_mol,reaction_energy_kJ_mol
RS1_1_to_TS1_2,-83.440814162568,-83.439026043372,-83.43728920776,4.694706301817721,9.254767572371152
TS1_2_to_PS1_2b,-83.43918100365,-83.439216684144,-83.437252744821,-0.09367912406504014,5.062642857538796
RS1_2b_to_PS1_3,-83.460581947496,-83.439182756832,-83.442466518576,56.1835673418223,47.56205207166965
RS2_1_to_TS2_1a,-110.271402865227,-110.268061237483,-110.268043166315,8.773442432220646,8.820888277263496
TS2_1a_to_PS2_2,-110.267246378034,-110.273359590676,-110.294759883312,-16.05023757856715,-72.23669814748553
