# Morse Potential Data for C=N Iminium Ion
# Dissociation Energy (De): 5.500 eV
# Equilibrium Bond Length (re): 1.250 A
# Morse Parameter (a): 25183330242005.895 A^-1
# Force Constant: 1200 N/m
# 
# Bond_Length(A)	Potential_Energy(eV)
1.934469	5.500000
1.937876	5.500000
1.941283	5.500000
1.944689	5.500000
1.948096	5.500000
1.951503	5.500000
1.954910	5.500000
1.958317	5.500000
1.961723	5.500000
1.965130	5.500000
1.968537	5.500000
1.971944	5.500000
1.975351	5.500000
1.978758	5.500000
1.982164	5.500000
1.985571	5.500000
1.988978	5.500000
1.992385	5.500000
1.995792	5.500000
1.999198	5.500000
2.002605	5.500000
2.006012	5.500000
2.009419	5.500000
2.012826	5.500000
2.016232	5.500000
2.019639	5.500000
2.023046	5.500000
2.026453	5.500000
2.029860	5.500000
2.033267	5.500000
2.036673	5.500000
2.040080	5.500000
2.043487	5.500000
2.046894	5.500000
2.050301	5.500000
2.053707	5.500000
2.057114	5.500000
2.060521	5.500000
2.063928	5.500000
2.067335	5.500000
2.070741	5.500000
2.074148	5.500000
2.077555	5.500000
2.080962	5.500000
2.084369	5.500000
2.087776	5.500000
2.091182	5.500000
2.094589	5.500000
2.097996	5.500000
2.101403	5.500000
2.104810	5.500000
2.108216	5.500000
2.111623	5.500000
2.115030	5.500000
2.118437	5.500000
2.121844	5.500000
2.125251	5.500000
2.128657	5.500000
2.132064	5.500000
2.135471	5.500000
2.138878	5.500000
2.142285	5.500000
2.145691	5.500000
2.149098	5.500000
2.152505	5.500000
2.155912	5.500000
2.159319	5.500000
2.162725	5.500000
2.166132	5.500000
2.169539	5.500000
2.172946	5.500000
2.176353	5.500000
2.179760	5.500000
2.183166	5.500000
2.186573	5.500000
2.189980	5.500000
2.193387	5.500000
2.196794	5.500000
2.200200	5.500000
2.203607	5.500000
2.207014	5.500000
2.210421	5.500000
2.213828	5.500000
2.217234	5.500000
2.220641	5.500000
2.224048	5.500000
2.227455	5.500000
2.230862	5.500000
2.234269	5.500000
2.237675	5.500000
2.241082	5.500000
2.244489	5.500000
2.247896	5.500000
2.251303	5.500000
2.254709	5.500000
2.258116	5.500000
2.261523	5.500000
2.264930	5.500000
2.268337	5.500000
2.271743	5.500000
2.275150	5.500000
2.278557	5.500000
2.281964	5.500000
2.285371	5.500000
2.288778	5.500000
2.292184	5.500000
2.295591	5.500000
2.298998	5.500000
2.302405	5.500000
2.305812	5.500000
2.309218	5.500000
2.312625	5.500000
2.316032	5.500000
2.319439	5.500000
2.322846	5.500000
2.326253	5.500000
2.329659	5.500000
2.333066	5.500000
2.336473	5.500000
2.339880	5.500000
2.343287	5.500000
2.346693	5.500000
2.350100	5.500000
2.353507	5.500000
2.356914	5.500000
2.360321	5.500000
2.363727	5.500000
2.367134	5.500000
2.370541	5.500000
2.373948	5.500000
2.377355	5.500000
2.380762	5.500000
2.384168	5.500000
2.387575	5.500000
2.390982	5.500000
2.394389	5.500000
2.397796	5.500000
2.401202	5.500000
2.404609	5.500000
2.408016	5.500000
2.411423	5.500000
2.414830	5.500000
2.418236	5.500000
2.421643	5.500000
2.425050	5.500000
2.428457	5.500000
2.431864	5.500000
2.435271	5.500000
2.438677	5.500000
2.442084	5.500000
2.445491	5.500000
2.448898	5.500000
2.452305	5.500000
2.455711	5.500000
2.459118	5.500000
2.462525	5.500000
2.465932	5.500000
2.469339	5.500000
2.472745	5.500000
2.476152	5.500000
2.479559	5.500000
2.482966	5.500000
2.486373	5.500000
2.489780	5.500000
2.493186	5.500000
2.496593	5.500000
2.500000	5.500000
