step,GFN1_tight,GFN2_etemp300,GFN2_etemp500,GFN2_normal,GFN2_tight
RS1_1_to_TS1_2,-6.722471073939339,2.282951030732001,2.21116558282011,2.2012902616626664,2.2028375764017296
RS1_2b_to_PS1_3,,,11.501600775592463,,
TS1_2_to_PS1_2b,,,1.2822596218358988,,
TS2_1a_to_PS2_2,-21.594571586543854,-17.13309338919856,-17.181498204335348,-17.62917592541971,-17.37567551157069
